Unnamed: 0.1,Unnamed: 0,user,rating,comment,product_id,similarity
31,31,erin,5,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582,0.4462089899529985
51,51,trottersan,5,"Alpha-Bits were in my top 5 cereals of all-time. Not too sweet, but so delicious. In recent years it has reappeared, but is nothing like the original. Tastes like cardboard now. Not even a hint of sweetness. So sad. Since they started making so many cereals 'healthier', most just don't do it for me anymore. Sadly, the change to 'healthier' foods has sacrificed the original taste of these foods. Had McDonald's fries yesterday and they were inedible! It's like that with so many foods now.",11,0.13813967718187267
66,66,Yumarama,4,"(Team Breakfast Member)  This was ""THE"" staple cereal at our house; you could almost always find a box of this available. I've gone and grabbed a box now and then in the last couple decades and can't believe how sweet these things are, and as I assume they'd have had even more sugar back in the 60's, it boggles my mind why my mother would have bought this. However, it still offers a good bit of nostalgia and I may pick up another box sometime, when I can get a bank loan. Man, cereals are expensive now-a-days...",11,0.13813967718187267
88,88,Ruffin,0,"Does anyone have a copy of the commercial that introduced brown sugar frosting? It featured a speech choir for audio and simple line drawing animation in the form of wavy vertical lines and mouths. The text went something like this: A: Have you heard what's new? B: What's new? What's new? A: The brand new taste of Alpha-Bits. They're brown sugar frosted. B: Brown sugar frosted? A: Brown sugar makes these crispy letters, made from oats, golden. New golden Alpha-Bits are better than ever. B: Why are they better? A: 'cause brown sugar makes 'em that way. B: What way? A: Crisp, golden, and delicious. Now Alpha-Bits are more A-B-C-Delicious than ever. Than ever! And new golden Alpha-Bits have energy, from A to Z. You'll like 'em better than cereals with white sugar on 'em. Start your day a little bit better, A-B-C-Deliciously. Now you know what's new, don't you? B: Sure--Alpha-Bits. They have a new golden color and a brand new taste. All: Now the only cereal with all the letters is the only cereal with brown sugar on 'em. New golden Alpha-Bits are better than ever. Than ever!",11,0.8842030122507006
158,158,erin,5,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582,0.4462089899529985
180,180,Rockhound,5,"I'm a cereal mixer, in that I start with an unsweetened cereal like Grape Nuts or shredded wheat, then I top it with a slightly sweetened cereal. Almond Delight remains my all time favorite topper.",9,0.13813967718187267
192,192,Jude,5,"Ditto other comments. Not too sweet, healthy almonds and stays crunchy until the end. Bring it back!",9,0.46710280787722436
205,205,Richard,5,"It was the best! The cereal ads were aimed at adults, for an adult sweetened cereal, I was a kid back then. I tried it once when we were out of Wheaties - I WAS HOOKED! It was GREAT! Some company somewhere: PLEASE BRING IT BACK!",9,0.13813967718187267
251,251,trottersan,5,"Alpha-Bits were in my top 5 cereals of all-time. Not too sweet, but so delicious. In recent years it has reappeared, but is nothing like the original. Tastes like cardboard now. Not even a hint of sweetness. So sad. Since they started making so many cereals 'healthier', most just don't do it for me anymore. Sadly, the change to 'healthier' foods has sacrificed the original taste of these foods. Had McDonald's fries yesterday and they were inedible! It's like that with so many foods now.",11,0.13813967718187267
266,266,Yumarama,4,"(Team Breakfast Member)  This was ""THE"" staple cereal at our house; you could almost always find a box of this available. I've gone and grabbed a box now and then in the last couple decades and can't believe how sweet these things are, and as I assume they'd have had even more sugar back in the 60's, it boggles my mind why my mother would have bought this. However, it still offers a good bit of nostalgia and I may pick up another box sometime, when I can get a bank loan. Man, cereals are expensive now-a-days...",11,0.13813967718187267
